,gang_num_fcijk,worker_num_fcijk,vector_num_fcijk,Mean Squared Calc Time,Mean Squared Rmass Error,Mean Squared Rmom Error,Mean Squared Rener Error
2194,272384,1,64,0.001018203336233331,9.5282229397871e-59,6.712684418310463e-51,1.6790124037870348e-49
2195,400896,1,64,0.0010243351910999986,9.556219589600596e-59,6.755660354642603e-51,1.7015968142164584e-49
2196,267776,1,96,0.0010608706704999986,8.583562759741778e-59,5.885301950980981e-51,1.4754098171642068e-49
2197,169984,1,64,0.0010319693571666652,9.400545290675707e-59,6.651585177976661e-51,1.6819291055092028e-49
2198,224768,1,96,0.0010356101179999982,8.29820620996427e-59,5.872100596645136e-51,1.48256724318153e-49
2199,318464,1,64,0.0010886339313666642,9.532411652664663e-59,6.790654026912889e-51,1.7246964698871403e-49
2200,172544,1,32,0.001018728769199998,1.5149637061204817e-58,1.0054912001997353e-50,2.715092719017134e-49
2201,123904,1,96,0.0010270002677999987,8.409035889588817e-59,5.930032613960829e-51,1.4817310580257783e-49
2202,142848,1,32,0.0010398554736999984,1.5008729596958604e-58,9.889892006768311e-51,2.6808188482771692e-49
2203,284672,1,32,0.0010925196705333315,1.4512370562090756e-58,9.952325526841834e-51,2.6724476454719923e-49
2204,62976,1,32,0.0010362560375999984,1.4491324039449586e-58,9.930711479724955e-51,2.6572372119509865e-49
2205,66048,1,32,0.0010413068442666662,1.5210368583754335e-58,1.0034457346570783e-50,2.7295650399613093e-49
2206,359936,1,64,0.0010306538514333317,9.158223750905393e-59,6.721240379225006e-51,1.7008989579931518e-49
2207,163840,1,96,0.0010486327097666648,8.120579778176771e-59,5.857218776859274e-51,1.4862133313213944e-49
2208,104960,1,64,0.0010554813375999973,9.245462054897585e-59,6.682624881947662e-51,1.6804977943769194e-49
2209,304128,1,64,0.0010678491367666636,9.416547320942186e-59,6.64799487180383e-51,1.664392081741521e-49
2210,331264,1,96,0.0010721468730333326,8.526265988843871e-59,5.994666683138435e-51,1.4993684104418013e-49
2211,167936,1,64,0.0010067501529333318,9.495125290372969e-59,6.706867272780016e-51,1.7120802776171475e-49
2212,459776,1,64,0.0010626211455999983,9.441466345908461e-59,6.760717424634437e-51,1.7094586743485284e-49
2213,96256,1,32,0.0010495293877333311,1.4801098584023776e-58,9.960693691644743e-51,2.7053127891884283e-49
2214,243712,1,160,0.0010448924605333321,7.311286224234842e-59,5.1661947379582996e-51,1.2857789445969714e-49
2215,105984,1,128,0.001072835162466665,8.035974894470412e-59,5.74779848602858e-51,1.4572304579512694e-49
2216,201728,1,32,0.0010909977065666648,1.499205842185048e-58,1.0106771134890172e-50,2.734023018555612e-49
2217,331776,1,128,0.0010703495822666656,8.215863517292804e-59,5.753339850313118e-51,1.4130758565670214e-49
2218,153600,1,32,0.0010141717568666639,1.525283090765192e-58,9.976169904193252e-51,2.741646921019099e-49
2219,258048,1,96,0.001031784809866665,8.317324529993805e-59,5.992159007468715e-51,1.5063167495352125e-49
2220,466432,1,128,0.001078311754499999,7.8973127832210304e-59,5.732259226682788e-51,1.4350537810895782e-49
2221,53248,1,32,0.0010794157086333315,1.4738940676261705e-58,1.0039120759040843e-50,2.753398280109406e-49
2222,410624,1,32,0.001063335829266665,1.4834591024310043e-58,9.913624281362645e-51,2.7020965453638506e-49
2223,430080,1,64,0.001090886721999998,9.521433321387041e-59,6.69258215118711e-51,1.7002473765030655e-49
2224,166400,1,64,0.0009975612760666649,9.340923521283574e-59,6.703590046782758e-51,1.705214100518936e-49
2225,171520,1,96,0.0010628555550333321,8.361839643797682e-59,5.846638420740249e-51,1.4852768974499377e-49
2226,433152,1,96,0.001061585956299999,8.42060550720272e-59,6.026506977175694e-51,1.4814655150549856e-49
2227,205824,1,128,0.0010048438189999987,8.143922604088394e-59,5.772973419716134e-51,1.4394611873275132e-49
2228,119808,1,96,0.001015716096666665,8.150266408047026e-59,5.920721997597499e-51,1.4754192715983716e-49
2229,449536,1,96,0.0010559758762333322,8.28159022848674e-59,5.819554929914662e-51,1.4787115794424526e-49
2230,61952,1,192,0.0010040942236333316,6.829527352909178e-59,4.935397514055577e-51,1.2129977846809077e-49
2231,131072,1,64,0.000837779160699998,9.50007545913117e-59,6.653509142319815e-51,1.6796350564151532e-49
2232,177152,1,96,0.0008459210481999979,8.500574074743165e-59,5.912607782204247e-51,1.4819241737645554e-49
2233,186880,1,128,0.0008238422627999988,8.058172254863603e-59,5.775547248181278e-51,1.4316156936810153e-49
2234,189952,1,32,0.0008253614117999985,1.495346202518708e-58,9.990103632094259e-51,2.7651811689052794e-49
2235,403968,1,96,0.0007883655872999989,8.400537381462696e-59,5.9428760442278e-51,1.4741522918901684e-49
2236,501760,1,32,0.000791983399599998,1.4669355124152196e-58,9.838309470857762e-51,2.7040083407379797e-49
2237,72704,1,96,0.0008529718560666643,8.12302174765255e-59,5.98444215693624e-51,1.4918220937958558e-49
2238,157184,1,96,0.0007811862236333316,8.435737378799283e-59,5.903048613641282e-51,1.4728331647063322e-49
2239,53760,1,32,0.0007942997757666642,1.478797285454241e-58,9.985428735741992e-51,2.749280349714603e-49
2240,352768,1,96,0.0007715670407333306,8.210964164025382e-59,5.897417802891196e-51,1.461559085130436e-49
2241,479744,1,96,0.0008255650229666647,8.368372302284647e-59,5.915559408622121e-51,1.487787764489995e-49
2242,239104,1,96,0.0009183557516999986,8.348295288482692e-59,5.833909378387959e-51,1.436357879127908e-49
2243,55296,1,32,0.0008265928241333315,1.4586419762295468e-58,9.912566081985892e-51,2.712946086083162e-49
2244,82432,1,128,0.000788061554166665,8.062669526748532e-59,5.770586010827116e-51,1.4505978087655967e-49
